timestamp,source_file,output_file,status,rows,columns,size_kb,error
2026-06-20T12:11:34.659611,dim_customer.csv,dim_customer.parquet,SUCCESS,40,9,7.32,
2026-06-20T12:11:34.672027,dim_date.csv,dim_date.parquet,SUCCESS,90,14,9.25,
2026-06-20T12:11:34.680408,dim_product.csv,dim_product.parquet,SUCCESS,10,8,5.54,
2026-06-20T12:11:34.687969,dim_store.csv,dim_store.parquet,SUCCESS,5,9,5.6,
2026-06-20T12:11:34.697265,fact_returns.csv,fact_returns.parquet,SUCCESS,215,7,7.83,
2026-06-20T12:11:34.738487,fact_sales.csv,fact_sales.parquet,SUCCESS,7173,12,140.16,
